Venue Id,Name,Likes,Rating,Tips
4ac90140f964a520f7bd20e3,Main Street Taiwanese Gourmet 北港台菜,63,7.5,28
50e9c4b1e4b0541e6c67a2ab,Hly Chinese Cuisine (三人百姓),12,8.2,7
4d1bcddc1356224bc6410abe,OK Ryan,48,8.8,19
4c2bfb622219c928f58ca548,Fukuoka Shabu Shabu,22,7.6,9
4c0ae17b009a0f47f63feabf,Hunan Kitchen Of Grand Sichuan,66,7.7,40
4ac38216f964a520929b20e3,Golden Shopping Mall,104,8.4,53
559f3c6a498e9eb732ee3027,Deng Ji Noodle House 云南过桥米线,6,7.3,1
4f844c6fe4b0059705cb042c,Lake Pavilion Restaurant,117,6.7,41
4e026cd7fa76007240170736,Lan Zhou Hand Made Noodle,33,7.7,20
55a04fb7498e18131da5d46e,Shun Won Flushing Chinese Restaurant,23,7.3,8
4bd8e0dae914a5930afa54fa,Chef's Garden,6,7.5,1
4bca326b511f95210b4bafc7,Danny's Szechuan Garden,18,7.3,14
56316c73498ebdd0e0e53e95,Green Zenphony,19,7.8,7
4c59c1d3d3aee21ea2066955,China King,4,7.0,3
4c0fe9d76b7e2d7f7aca2635,El Jardin De China,44,8.4,22
4cf310ca7e0da1cd731e9b97,Green Garden Chinese Restaurant,3,7.3,4
4be75c8f2468c928fc720243,Tack's Chinese Take Out,7,7.1,8
4bba73677421a593ebd4c340,Jac Mao,23,8.1,12
4c254b83a852c92818ade46c,Crown Palace,4,8.2,4
4c93b85cf244b1f7c6621b1d,Fortune Cookie,8,6.6,6
4c53660372cf0f4768a0c4d2,Happy Fortune II,5,7.1,9
4b6b7476f964a520dd092ce3,Oriental Plaza,38,6.8,33
4c1ad571eac020a10a0144c2,China Hao Restaurant,32,8.7,15
4daa263f0cb6a89c62682125,Hardee,16,8.1,6
5165e9fee4b08d4837e87f35,Empire East,5,7.3,4
4bba73677421a593ebd4c340,Jac Mao,23,8.1,12
5165e9fee4b08d4837e87f35,Empire East,5,7.3,4
4b6b7476f964a520dd092ce3,Oriental Plaza,38,6.8,33
4e3484038877beb5e9a22a0b,Café China,1046,8.8,273
4c254b83a852c92818ade46c,Crown Palace,4,8.2,4
4c93b85cf244b1f7c6621b1d,Fortune Cookie,8,6.6,6
4c1ad571eac020a10a0144c2,China Hao Restaurant,32,8.7,15
4b5a6114f964a52043c128e3,China New Star,58,8.9,19
4ee01ae9f7903c92cd2e0c6a,ChinaTokyo,5,7.0,8
4ce49482e571a09332bc8587,Sagar Chinese,17,6.9,15
4bad4b36f964a520f6423be3,Eastern Chinese,9,6.1,6
4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant,5,7.6,2
5b350a77c876c8002c4984d7,Little Tong,25,8.2,3
4daa263f0cb6a89c62682125,Hardee,16,8.1,6
4d8151697c956dcb09cff27b,New Jin Shing Chinese Restuarant,6,7.2,4
4be75c8f2468c928fc720243,Tack's Chinese Take Out,7,7.1,8
4c53660372cf0f4768a0c4d2,Happy Fortune II,5,7.1,9
4c14210c7f7f2d7fae69e068,Crown Palace,9,5.8,5
4b46743ff964a520892126e3,"Golden ""Z"" Restaurant",9,7.6,6
4bfb224fd2b720a1a5a9326a,Jade Bamboo,7,7.5,5
4bffe248ca1920a1206ced81,Keilly Chinese Restaurant,6,7.2,8
4c3f7f2eda3dc928b8f6c5b9,Peking Kitchen,9,7.8,2
4d965fd061a3a1cde4989a42,Lucky Star Chinese Restaurant,3,7.4,5
4c72ad2bad69b60cb31b84b9,301 Chinese Resturant,9,6.8,3
4e4e41e8bd4101d0d7a620e0,Magic Wok,13,8.4,8
